review_id,date,rating,review_text,verified_purchase,product_name,customer_name,helpful_count
REV-FC2C1ECA,2023-10-28,2,Terrible experience. Dropper broke inside the bottle. Avoid this product.,True,Collagen Beauty Powder,Customer_6499,11
REV-D34C4886,2024-01-17,4,Exceeded my expectations. Been using for 2 months now.,True,Youth Renewal Night Cream,Customer_8662,17
REV-96272B4B,2024-07-09,5,The Probiotic Gut Health Capsules exceeded expectations. Gentle on sensitive skin!,True,Radiance Vitamin C Serum,Customer_3990,34
REV-20578E4F,2023-11-15,3,It's okay nothing special. It's fine I guess.,True,Youth Renewal Night Cream,Customer_1494,36
REV-A7E15E24,2024-01-27,4,Best purchase i've made this year! Shipping was fast too.,True,Collagen Beauty Powder,Customer_1704,40
REV-4D90E634,2024-06-28,5,I product works exactly as described! The Turmeric Anti-Inflammatory Tablets is amazing.,True,Youth Renewal Night Cream,Customer_3701,33
REV-17DD7A66,2023-01-20,5,The Radiance Vitamin C Serum exceeded expectations. Will definitely repurchase!,True,Omega-3 Fish Oil Supplement,Customer_8457,26
REV-A36B520F,2024-10-29,3,Not bad but not amazing either. It's fine I guess.,True,Probiotic Gut Health Capsules,Customer_7124,33
REV-19593CA0,2023-02-03,3,Might work for others but not for me. It's fine I guess.,True,Probiotic Gut Health Capsules,Customer_1375,2
REV-F70D9602,2023-05-25,3,Average product for the price. It's fine I guess.,True,Collagen Beauty Powder,Customer_6325,27
REV-9A2E11DF,2023-05-15,4,I this brand really cares about customers! The Turmeric Anti-Inflammatory Tablets is amazing.,True,Probiotic Gut Health Capsules,Customer_5108,37
REV-A2DB6DED,2023-12-28,4,Packaging was beautiful and secure! Shipping was fast too.,False,PureGlow Cleansing Balm,Customer_9469,50
REV-FD9232EE,2023-03-09,1,One star is too generous. Bottle leaked all over the box.,True,Turmeric Anti-Inflammatory Tablets,Customer_4308,92
REV-DF55C3B0,2023-05-13,4,The Omega-3 Fish Oil Supplement exceeded expectations. Gentle on sensitive skin!,True,Collagen Beauty Powder,Customer_7900,35
REV-2FE838BF,2023-03-29,2,Very disappointed. The made my skin red and irritated. Won't buy again.,True,Radiance Vitamin C Serum,Customer_1596,20
REV-D1E0F0C7,2023-01-11,5,I gentle on sensitive skin! The Collagen Beauty Powder is amazing.,True,Turmeric Anti-Inflammatory Tablets,Customer_8576,1
REV-D24BF74F,2024-01-20,2,One star is too generous. Bottle leaked all over the box.,True,PureGlow Cleansing Balm,Customer_4488,22
REV-F121B332,2024-02-08,5,My skin has never looked better! Shipping was fast too.,True,Omega-3 Fish Oil Supplement,Customer_8735,24
REV-7C8F54BF,2023-04-30,5,The Collagen Beauty Powder exceeded expectations. Highly recommend to friends!,False,Omega-3 Fish Oil Supplement,Customer_2687,47
REV-D7D6F75B,2023-07-11,1,The Omega-3 Fish Oil Supplement discount code didn't apply. Very frustrated with this purchase.,True,PureGlow Cleansing Balm,Customer_9728,22
REV-46D1BDFA,2024-08-07,4,The Probiotic Gut Health Capsules exceeded expectations. This brand really cares about customers!,True,Omega-3 Fish Oil Supplement,Customer_8323,27
REV-A3489B48,2023-03-23,2,DO NOT BUY. Delivery was delayed by 2 weeks. This company doesn't care.,True,Youth Renewal Night Cream,Customer_3457,26
REV-C925B02A,2023-05-12,5,I exceeded my expectations! The Radiance Vitamin C Serum is amazing.,True,HydraBoost Daily Moisturizer,Customer_2541,35
REV-C4FF591F,2024-01-28,1,Terrible experience. Refund still hasn't processed. Avoid this product.,True,Radiance Vitamin C Serum,Customer_6317,74
REV-23C694C7,2023-08-08,4,Highly recommend to friends! Shipping was fast too.,True,Youth Renewal Night Cream,Customer_3098,37
REV-484A2BF6,2023-03-19,2,Waste of money. Caused breakout within days. Customer service was no help.,True,Youth Renewal Night Cream,Customer_6160,29
REV-F88D560D,2023-03-11,3,Might work for others but not for me. It's fine I guess.,True,Radiance Vitamin C Serum,Customer_1711,1
REV-7AB640AE,2023-06-27,1,DO NOT BUY. Discount code didn't apply. This company doesn't care.,True,Youth Renewal Night Cream,Customer_9462,59
REV-8363848A,2024-05-03,4,Just received my order and product works exactly as described. Great job!,True,Omega-3 Fish Oil Supplement,Customer_4767,6
REV-29EAF156,2024-12-09,5,I fast shipping and great quality! The Omega-3 Fish Oil Supplement is amazing.,True,PureGlow Cleansing Balm,Customer_2721,38
REV-E3AA6980,2023-04-03,5,Absolutely love this product. Been using for 2 months now.,True,Omega-3 Fish Oil Supplement,Customer_6504,30
REV-1FB00116,2024-07-09,2,Waste of money. Auto-renewal happened without warning. Customer service was no help.,True,Omega-3 Fish Oil Supplement,Customer_8351,48
REV-67AEF937,2024-06-30,3,Average product for the price. It's fine I guess.,True,PureGlow Cleansing Balm,Customer_9816,34
REV-3D887DF7,2024-11-09,5,I gentle on sensitive skin! The Youth Renewal Night Cream is amazing.,False,PureGlow Cleansing Balm,Customer_9088,16
REV-F0115D1E,2023-01-23,1,One star is too generous. Agent hung up on me.,True,PureGlow Cleansing Balm,Customer_2619,91
REV-3770BFF9,2023-09-20,4,I will definitely repurchase! The Radiance Vitamin C Serum is amazing.,True,Turmeric Anti-Inflammatory Tablets,Customer_2176,1
REV-16F417D6,2023-12-22,1,Ordered the Youth Renewal Night Cream and bottle leaked all over the box. So angry right now.,True,PureGlow Cleansing Balm,Customer_2345,58
REV-199E0FBA,2023-02-09,3,Not bad but not amazing either. It's fine I guess.,True,Youth Renewal Night Cream,Customer_3787,10
REV-3B2838B7,2024-03-01,5,Product works exactly as described! Shipping was fast too.,True,Radiance Vitamin C Serum,Customer_8411,18
REV-E913BB02,2023-05-05,3,Decent quality but slow shipping. It's fine I guess.,True,Turmeric Anti-Inflammatory Tablets,Customer_5780,4
REV-C1A9A773,2023-02-16,1,Ordered the HydraBoost Daily Moisturizer and charged after I cancelled. So angry right now.,True,Probiotic Gut Health Capsules,Customer_7478,30
REV-F2122E18,2023-07-19,2,The Youth Renewal Night Cream carrier lost my package twice. Very frustrated with this purchase.,True,Turmeric Anti-Inflammatory Tablets,Customer_9316,43
REV-9EDC9C3A,2024-08-16,3,Might work for others but not for me. It's fine I guess.,True,Collagen Beauty Powder,Customer_5584,11
REV-3C457BDD,2024-02-03,4,I will definitely repurchase! The Collagen Beauty Powder is amazing.,True,HydraBoost Daily Moisturizer,Customer_5112,12
REV-666280FD,2024-04-02,3,Decent quality but slow shipping. It's fine I guess.,True,Probiotic Gut Health Capsules,Customer_3681,32
REV-349DD486,2024-09-14,1,Very disappointed. The bottle was only half full. Won't buy again.,True,Radiance Vitamin C Serum,Customer_2586,88
REV-0A2BEF15,2023-06-06,4,Just received my order and best purchase I've made this year. Great job!,False,Omega-3 Fish Oil Supplement,Customer_5119,43
REV-10C22462,2023-07-26,2,Terrible experience. Product separated in the bottle. Avoid this product.,True,Probiotic Gut Health Capsules,Customer_3298,44
REV-F8A23F9F,2023-01-09,1,One star is too generous. Seal was already broken.,True,Youth Renewal Night Cream,Customer_4386,25
REV-5CC919C4,2024-02-16,4,Gentle on sensitive skin! Shipping was fast too.,True,Youth Renewal Night Cream,Customer_3984,43
REV-8A082310,2023-12-09,3,Does what it says but slowly. It's fine I guess.,True,Collagen Beauty Powder,Customer_5813,50
REV-0F18053E,2024-04-09,4,Just received my order and absolutely love this product. Great job!,True,PureGlow Cleansing Balm,Customer_2152,41
REV-5D22D8D7,2023-09-16,4,Highly recommend to friends! Shipping was fast too.,True,Probiotic Gut Health Capsules,Customer_2907,33
REV-71A99176,2024-05-31,1,Hard to find cancel button. I want a refund immediately.,True,PureGlow Cleansing Balm,Customer_6871,53
REV-AB4A9920,2023-09-27,4,Just received my order and love the natural ingredients. Great job!,True,Turmeric Anti-Inflammatory Tablets,Customer_3872,7
REV-070A0867,2024-10-01,3,Decent quality but slow shipping. It's fine I guess.,True,Collagen Beauty Powder,Customer_2353,32
REV-644ECD13,2023-03-06,3,Works but takes time to see results. It's fine I guess.,True,PureGlow Cleansing Balm,Customer_9929,49
REV-F1DE5DB6,2024-10-23,2,Ordered the Turmeric Anti-Inflammatory Tablets and got generic copy-paste responses. So angry right now.,True,Collagen Beauty Powder,Customer_1631,25
REV-85375F2A,2023-02-22,3,Not bad but not amazing either. It's fine I guess.,False,Turmeric Anti-Inflammatory Tablets,Customer_9464,37
REV-403153BE,2024-08-10,4,Just received my order and will definitely repurchase. Great job!,True,Probiotic Gut Health Capsules,Customer_3625,17
REV-BE7999C2,2023-02-11,5,I product works exactly as described! The Probiotic Gut Health Capsules is amazing.,True,Turmeric Anti-Inflammatory Tablets,Customer_3337,28
REV-C3C1F5C9,2023-12-17,5,Just received my order and highly recommend to friends. Great job!,True,Youth Renewal Night Cream,Customer_3645,0
REV-8E656787,2024-03-21,5,I great value for money! The Omega-3 Fish Oil Supplement is amazing.,True,Radiance Vitamin C Serum,Customer_6699,14
REV-3FDC8AC5,2023-11-25,4,Gentle on sensitive skin! Shipping was fast too.,False,Radiance Vitamin C Serum,Customer_9789,46
REV-B6286A3E,2023-06-05,1,No protective packaging at all. I want a refund immediately.,True,Probiotic Gut Health Capsules,Customer_2614,0
REV-A910FAE5,2023-04-07,1,Order never showed up. I want a refund immediately.,True,Probiotic Gut Health Capsules,Customer_3703,72
REV-4DD8254E,2024-03-05,2,Very disappointed. The charged after I cancelled. Won't buy again.,True,Omega-3 Fish Oil Supplement,Customer_8927,21
REV-E6D7D072,2024-09-26,5,Just received my order and will definitely repurchase. Great job!,True,HydraBoost Daily Moisturizer,Customer_6911,48
REV-BD7F2AFD,2023-10-12,4,Gentle on sensitive skin! Shipping was fast too.,False,PureGlow Cleansing Balm,Customer_7568,26
